epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3837,1.04135,3.36141,1.36918,0.00589,0.92857,0.20926,0.17467,0.6189,3.69776,1.18702,0.0001125,0.0001125,0.0001125
2,58.8799,0.97019,2.72476,1.31739,0.0067,0.96429,0.26667,0.19155,0.89593,3.56489,1.34299,0.000232798,0.000232798,0.000232798
3,84.0344,0.86364,2.09144,1.27026,0.00579,1,0.43533,0.30617,0.78464,3.33258,1.25173,0.000348145,0.000348145,0.000348145
4,110.829,0.93984,1.79207,1.24768,0.81626,0.31753,0.68427,0.56219,0.79871,2.84556,1.28849,0.000458542,0.000458542,0.000458542
5,135.627,0.91889,1.50531,1.21313,0.78508,0.51741,0.83126,0.69156,0.70647,2.47037,1.10053,0.00056399,0.00056399,0.00056399
6,160.235,0.88545,1.47452,1.2008,0.80019,0.74517,0.83719,0.67335,0.82174,2.26907,1.28866,0.000664488,0.000664488,0.000664488
7,184.438,0.84031,1.35482,1.17541,0.81763,0.67772,0.78316,0.5302,0.91272,2.3007,1.30058,0.000760035,0.000760035,0.000760035
8,209.74,0.88855,1.33833,1.1949,0.80608,0.82343,0.85805,0.6363,0.87975,2.18227,1.36263,0.000850632,0.000850632,0.000850632
9,235.221,0.90028,1.24285,1.17572,0.67116,0.77507,0.84278,0.64859,0.87047,2.10748,1.31657,0.00093628,0.00093628,0.00093628
10,260.683,0.89774,1.2715,1.20827,0.61423,0.83547,0.80583,0.55694,0.99156,2.23286,1.51868,0.00101698,0.00101698,0.00101698
11,285.018,0.83753,1.19363,1.19575,0.65128,0.70056,0.75735,0.48608,1.0554,2.29246,1.55163,0.0010025,0.0010025,0.0010025
12,309.627,0.85908,1.21212,1.19112,0.78357,0.8,0.85697,0.67631,0.79244,1.93412,1.32688,0.00097775,0.00097775,0.00097775
13,333.864,0.87201,1.20223,1.1783,0.86524,0.88249,0.94547,0.76437,0.73319,1.54953,1.21313,0.000953,0.000953,0.000953
14,359.22,0.85647,1.07855,1.14162,0.85021,0.83365,0.91406,0.69122,0.74842,1.69945,1.25514,0.00092825,0.00092825,0.00092825
15,384.63,0.88814,1.12969,1.17741,0.79942,0.71522,0.87649,0.70589,0.7788,1.74662,1.32061,0.0009035,0.0009035,0.0009035
16,412.022,0.82006,1.21743,1.20029,0.97425,0.91159,0.97094,0.774,0.76367,1.34606,1.25775,0.00087875,0.00087875,0.00087875
17,437.403,0.79065,1.02529,1.11945,0.91842,0.92958,0.96533,0.76044,0.77896,1.38151,1.26521,0.000854,0.000854,0.000854
18,462.83,0.75465,0.9835,1.0946,0.88593,0.95245,0.97672,0.75152,0.86678,1.41482,1.26343,0.00082925,0.00082925,0.00082925
19,488.647,0.79611,0.94863,1.1614,0.91429,0.93122,0.9845,0.78958,0.74231,1.18697,1.15916,0.0008045,0.0008045,0.0008045
20,514.562,0.72542,0.92894,1.10444,0.9846,0.90933,0.99062,0.83206,0.69358,1.15615,1.19726,0.00077975,0.00077975,0.00077975
21,542.465,0.84824,0.98384,1.19592,0.97307,0.86688,0.98722,0.81726,0.66964,1.23052,1.12614,0.000755,0.000755,0.000755
22,568.737,0.76953,0.94939,1.1374,0.90751,0.9462,0.97013,0.77596,0.71812,1.10842,1.14274,0.00073025,0.00073025,0.00073025
23,594.042,0.75711,0.91819,1.1347,0.7332,0.98198,0.94847,0.7821,0.64052,1.11989,1.09056,0.0007055,0.0007055,0.0007055
24,620.185,0.71891,0.87908,1.11415,0.92367,0.98802,0.99063,0.83229,0.65507,1.0392,1.10705,0.00068075,0.00068075,0.00068075
25,645.758,0.78843,0.9069,1.10951,0.96085,1,0.995,0.82588,0.66972,1.0377,1.10693,0.000656,0.000656,0.000656
26,671.335,0.70714,0.85715,1.07922,0.96136,0.96962,0.995,0.81735,0.71435,1.03948,1.12445,0.00063125,0.00063125,0.00063125
27,696.702,0.69887,0.83265,1.09672,0.98814,0.97383,0.995,0.83374,0.68043,0.92553,1.12631,0.0006065,0.0006065,0.0006065
28,722.422,0.68796,0.79316,1.08436,0.94244,0.97419,0.995,0.85317,0.56458,0.88014,1.02503,0.00058175,0.00058175,0.00058175
29,748.252,0.67507,0.79942,1.07348,0.96296,1,0.995,0.88228,0.55054,0.80373,1.00533,0.000557,0.000557,0.000557
30,773.494,0.67029,0.77126,1.05795,0.98064,0.9964,0.995,0.88553,0.52317,0.7713,0.99545,0.00053225,0.00053225,0.00053225
31,799.199,0.70491,0.84184,1.06867,0.98335,1,0.995,0.9017,0.53171,0.77705,0.99944,0.0005075,0.0005075,0.0005075
32,824.874,0.66647,0.74059,1.06438,0.93692,1,0.995,0.86918,0.56768,0.792,1.02155,0.00048275,0.00048275,0.00048275
33,850.257,0.62627,0.71693,1.04307,0.92747,1,0.995,0.85776,0.55507,0.80149,1.00734,0.000458,0.000458,0.000458
34,875.553,0.65777,0.71417,1.06635,0.92378,0.99634,0.9825,0.8141,0.58657,0.81964,1.01058,0.00043325,0.00043325,0.00043325
35,900.669,0.67538,0.71188,1.0781,0.96957,1,0.995,0.84286,0.5862,0.75906,1.00772,0.0004085,0.0004085,0.0004085
36,926.062,0.63206,0.74835,1.06948,0.96661,0.99421,0.995,0.82895,0.60789,0.75502,1.01649,0.00038375,0.00038375,0.00038375
37,951.499,0.63372,0.72233,1.04454,0.97686,0.99173,0.995,0.85913,0.54496,0.70194,0.99699,0.000359,0.000359,0.000359
38,976.279,0.67972,0.68095,1.04857,0.98172,0.99899,0.995,0.87832,0.53467,0.67636,1.00082,0.00033425,0.00033425,0.00033425
39,1001.87,0.61693,0.67397,1.02763,0.984,0.99777,0.995,0.85904,0.58131,0.6834,1.0146,0.0003095,0.0003095,0.0003095
40,1026.98,0.61068,0.62083,1.00432,0.97499,1,0.995,0.84325,0.60503,0.71027,1.02141,0.00028475,0.00028475,0.00028475
41,1052.63,0.4892,0.69288,0.94993,0.97284,0.99628,0.995,0.84904,0.59287,0.73841,1.01825,0.00026,0.00026,0.00026
42,1076.89,0.4526,0.8348,0.94689,0.98057,0.97276,0.995,0.86023,0.59267,0.81803,1.02504,0.00023525,0.00023525,0.00023525
43,1100.96,0.45569,0.69212,0.91204,0.99004,0.96784,0.995,0.87904,0.56074,0.72534,1.00761,0.0002105,0.0002105,0.0002105
44,1126.09,0.4321,0.62567,0.91623,0.99198,0.96771,0.995,0.87296,0.54824,0.6519,0.9986,0.00018575,0.00018575,0.00018575
45,1152.71,0.4141,0.59105,0.90407,0.99128,0.96853,0.995,0.86919,0.5387,0.64933,0.98907,0.000161,0.000161,0.000161
46,1179.57,0.40179,0.62433,0.90013,0.98951,0.97023,0.995,0.87536,0.53,0.66063,0.98608,0.00013625,0.00013625,0.00013625
47,1205.72,0.43964,0.60055,0.92031,0.989,0.97176,0.995,0.86696,0.53507,0.66128,0.9873,0.0001115,0.0001115,0.0001115
48,1231.84,0.40296,0.59937,0.89854,0.99059,0.97309,0.995,0.86398,0.54167,0.64153,0.99372,8.675e-05,8.675e-05,8.675e-05
49,1257.62,0.41095,0.59652,0.87217,0.99163,0.97334,0.995,0.86431,0.53533,0.62793,0.9926,6.2e-05,6.2e-05,6.2e-05
50,1283.44,0.38217,0.57219,0.8823,0.99212,0.97343,0.995,0.8713,0.52519,0.61605,0.98919,3.725e-05,3.725e-05,3.725e-05
